run_id,ev_depart,confidence,ev_speed,route,ew_flow,ns_flow,travel_time,true_delay,ev_wait,safety_violations,teleports,deadlocks,passed
279,644.8,0.45,15.8,COMPLEX_TURN_D_TO_B,752,797,80.0,36.81,18.0,0,0,0,False
280,323.5,0.49,19.0,NS_B,817,790,30.0,13.62,0.0,0,0,0,True
281,369.7,0.17,20.7,NS_C,970,841,44.0,28.97,7.0,0,0,0,False
282,427.8,0.97,16.8,COMPLEX_TURN_D_TO_B,834,760,58.0,17.38,0.0,0,0,0,False
283,334.3,0.51,17.1,COMPLEX_TURN_D_TO_B,975,727,57.0,17.09,0.0,0,0,0,False
284,321.5,0.83,16.9,NS_D,926,604,25.0,6.59,0.0,0,0,0,True
285,275.6,0.55,21.4,NS_B,858,991,59.0,44.46,22.0,0,0,0,False
286,370.3,0.48,20.1,NS_B,938,909,52.0,36.52,17.0,0,0,0,False
287,334.1,0.21,17.2,COMPLEX_TURN_D_TO_B,1076,772,61.0,21.33,0.0,0,0,0,False
288,593.7,0.02,15.9,NS_C,710,775,44.0,24.43,9.0,0,0,0,False
289,610.5,0.83,16.7,EW_full,623,985,67.0,26.14,0.0,0,0,0,False
290,567.6,0.71,19.7,EW_full,912,710,-1.0,999.0,45.0,0,0,1,False
291,427.4,0.52,16.3,NS_B,709,964,58.0,38.91,23.0,0,0,0,False
292,625.4,0.17,16.8,NS_C,911,642,26.0,7.48,0.0,0,0,0,True
293,640.2,0.5,19.0,EW_full,942,915,-1.0,999.0,26.0,0,0,1,False
294,551.9,0.9,19.2,COMPLEX_TURN_D_TO_B,681,688,63.0,27.46,1.0,0,0,0,False
295,579.6,0.68,14.0,NS_B,944,954,-1.0,999.0,38.0,0,0,1,False
